[01] L01/answerable: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L01.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L01-answerable', '--stratum', 'answerable', '--rung-id', 'L01']' returned non-zero exit status 1.
[02] L01/null: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L01.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L01-null', '--stratum', 'null', '--rung-id', 'L01']' returned non-zero exit status 1.
[03] L01/answerable_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L01.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L01-answerable_mirror', '--stratum', 'answerable_mirror', '--rung-id', 'L01']' returned non-zero exit status 1.
[04] L01/null_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L01.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L01-null_mirror', '--stratum', 'null_mirror', '--rung-id', 'L01']' returned non-zero exit status 1.
[05] L02/answerable: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L02.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L02-answerable', '--stratum', 'answerable', '--rung-id', 'L02']' returned non-zero exit status 1.
[06] L02/null: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L02.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L02-null', '--stratum', 'null', '--rung-id', 'L02']' returned non-zero exit status 1.
[07] L02/answerable_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L02.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L02-answerable_mirror', '--stratum', 'answerable_mirror', '--rung-id', 'L02']' returned non-zero exit status 1.
[08] L02/null_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L02.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L02-null_mirror', '--stratum', 'null_mirror', '--rung-id', 'L02']' returned non-zero exit status 1.
[09] L03/answerable: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L03.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L03-answerable', '--stratum', 'answerable', '--rung-id', 'L03']' returned non-zero exit status 1.
[10] L03/null: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L03.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L03-null', '--stratum', 'null', '--rung-id', 'L03']' returned non-zero exit status 1.
[11] L03/answerable_mirror: ANOMALY: Command '['/opt/anaconda3/bin/python', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/lane1a_runner.py', '--manifest', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/manifests/L03.json', '--output-dir', '/Users/eliasflores/Documents/Projects/Apiana_Ai/LLM_Mechanics/Main/Apiana_Papers/river_and_the_canyon/river-and-canyon-repo-FINAL/experiments/2026-06-10_lane-1a-sweep/raw', '--output-prefix', 'LANE1A-L03-answerable_mirror', '--stratum', 'answerable_mirror', '--rung-id', 'L03']' returned non-zero exit status 1.
